post_date,content,fanpage_name,reaction,share,comment,fanpage_url,post_url,image_urls,video_url
2026-06-23,"Ba... Người ít khi nhắc đến những áp lực mình đang mang. Người không than phiền về những mệt mỏi thường ngày, luôn cố gắng hết mình để vợ con, gia đình có cuộc sống đủ đầy, hạnh phúc.  Và phía sau dáng vẻ mạnh mẽ ấy, ba cũng cần được yêu thương, chăm sóc và bảo vệ.  Sản phẩm Bảo hiểm đính kèm Hộ Vệ Xanh từ Manulife, giải pháp bảo hiểm tai nạn cá nhân, với thiết kế linh hoạt cùng khả năng mở rộng bảo vệ cho người thân yêu, sẽ là người bạn đồng hành tin cậy, cùng ba vững bước trên hành trình sống khỏe:  🛡️Bảo vệ thiết thực: Bảo vệ cơ thể trước nhiều mức độ thương tật, tổn thương do tai nạn, từ những ảnh hưởng nhẹ đến rủi ro nghiêm trọng 🛡️Bảo vệ toàn diện: Mở rộng chi trả cho các tai nạn phổ biến như bỏng, gãy xương, tổn thương nội tạng và chấn thương sọ não  Vì ""trụ cột"" cũng cần một điểm tựa  để vững vàng hơn... Hãy để Manulife đồng hành cùng ba, để ba vững tâm chăm lo cho những người mình thương nhé 💚  #ManulifeVietnam #TốtHơnMỗiNgày",Manulife Vietnam,118,13,3,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/ManulifeVietnam/posts/pfbid02edG7zpyTD36HmDxE6EHA77JpxQ6KbzbJzUa9v8KQr3JQSZuiRbftVoGKd2ji2kQPl,https://scontent.fsgn5-3.fna.fbcdn.net/v/t39.99422-6/729149199_1522525679413936_4583417605824930973_n.png?stp=dst-jpg_tt6&cstp=mx1600x2000&ctp=s1080x2048&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=Bl9XBO0gYoIQ7kNvwGGKZsl&_nc_oc=Adon3hdKzxM1lwEB8AVwyLg-8mCIXJHO9MR4LeJDNe9P4z4ZP6Iro8ZTUuywRY1CEvpHA2O2tX5vFwCOde7RXCNh&_nc_zt=14&_nc_ht=scontent.fsgn5-3.fna&_nc_gid=I6mwbSR5aPUzQ4mdy6EUUQ&_nc_ss=7b2a8&oh=00_Af8xFTsZk5ZIgBNQ97D-sJE--MZZMeWUWl5DUP-nVBnyBw&oe=6A4180FB,
2026-06-22,"Chương trình tuyển dụng đặc biệt  ĐẠI SỨ XANH PHÚ QUÝ: Tư vấn Tài chính - Bảo hiểm thế hệ mới. Mở ra cơ hội sự nghiệp vượt trội, nơi năng lực ưu tú được công nhận bằng đặc quyền tiếp cận các sản phẩm cao cấp và tiên phong từ Manulife.  Được thiết kế dành riêng cho những ứng viên mong muốn phát triển sự nghiệp chuyên nghiệp và bền vững, chương trình tuyển dụng Tư vấn Tài chính – Bảo hiểm ""Đại sứ Xanh Phú Quý"" tập trung hỗ trợ ứng viên trong giai đoạn chuyển đổi nghề nghiệp và xây dựng năng lực tư vấn toàn diện với nhiều đặc quyền nổi bật.  Trở thành đại sứ Xanh Phú Quý ngay hôm nay tại đây: https://www.manulife.com.vn/vi/tuyen-dung/dai-su-xanh-phu-quy1.html  #ManulifeVietnam #TốtHơnMỗiNgày #KienTaoGiaSan #ĐạisứXanhPhúQuý",Manulife Vietnam,546,60,34,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/reel/1250764210312871/,,https://www.facebook.com/reel/1250764210312871/
2026-06-22,"Từ dịch vụ đến tư vấn tài chính: Khi trải nghiệm khách hàng trở thành lợi thế cạnh tranh  Nhiều người chuyển nghề từ các ngành dịch vụ như y tế, khách sạn, bất động sản… sang tư vấn tài chính - bảo hiểm bởi lợi thế quen lắng nghe khách hàng, hiểu áp lực phía sau mỗi quyết định lớn và biết cách đồng hành trong những thời điểm quan trọng.  Dù đến từ những lĩnh vực khác nhau, điểm chung của họ khi bước vào ngành tư vấn tài chính là không phải bắt đầu lại từ con số 0. Kiến thức y khoa giúp nhận diện rủi ro sức khỏe. Kinh nghiệm bất động sản giúp hiểu rõ những quyết định tài chính lớn của khách hàng. Trong khi đó, tư duy dịch vụ từ ngành khách sạn giúp nâng cao kỹ năng lắng nghe, chăm sóc và thấu hiểu khách hàng.  Những kinh nghiệm đó không mất đi khi họ chuyển nghề. Ngược lại, khi được đào tạo đúng cách và có người hướng dẫn trong giai đoạn đầu, kinh nghiệm từ ngành cũ có thể trở thành lợi thế thật sự trong nghề tư vấn tài chính - bảo hiểm. Điều quan trọng là họ không chỉ hiểu sản phẩm, mà còn hiểu con người phía sau mỗi nhu cầu bảo vệ, tích lũy và chuẩn bị cho tương lai.  Đọc thêm tại đây:  https://dantri.com.vn/doi-song/tu-dich-vu-den-tu-van-tai-chinh-khi-trai-nghiem-khach-hang-tro-thanh-loi-the-canh-tranh-20260619134918905.htm   #TốtHơnMỗiNgày #ManulifeVietnam",Manulife Vietnam,36,1,0,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/ManulifeVietnam/posts/pfbid036c2s7oQt5s7iupAFMgSd6yuQLK81QtZ26QQyCBkzmHwbyApWp7fT6Sw5jov8SyE2l,,
2026-06-21,"- Cái vỏ xe mòn lắm rồi sao không thay? - Quạt kêu rẹt rẹt sao không mang đi sửa? để nó hư luôn bây giờ. - Không biết giống ai mà có cái tánh đụng đâu quên đó, rồi nào mới lớn đây?  Và sau mỗi lần ba cằn nhằn...  - Cái vỏ mòn được thay mới - Cây quạt kêu rẹt rẹt đã chạy êm ru.  - Còn cái tật “đụng đâu quên đó” vẫn không thay đổi, chỉ là lần nào vội vàng chuẩn bị đi đâu cũng thấy chìa khóa, áo mưa hay xấp giấy tờ đã được ba lặng lẽ xếp gọn gàng sẵn trong ngăn tủ.  Đến khi lớn lên mới hiểu, hóa ra có một kiểu yêu thương không nói thành lời, nhưng luôn hiện diện trong từng điều nhỏ nhặt nhất.  Hôm nay là Ngay của ba, bạn sẽ làm gì cùng ba của mình? Hãy chia sẻ những câu chuyện, khoảnh khắc cùng ba trong phần bình luận bên dưới nhé💚💚 #ManulifeVietnam #TốtHơnMỗiNgày",Manulife Vietnam,123,20,1,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/ManulifeVietnam/posts/pfbid0NPYVYSo1K3i6atJoXNy19kQnu96KkmWugBmcECh7Hnj9xxRYHkjHBLGZ6TvkEFRql,https://scontent.fsgn5-12.fna.fbcdn.net/v/t39.99422-6/727158771_1132484469958270_266500654756087410_n.png?stp=dst-jpg_tt6&cstp=mx1500x1500&ctp=s1080x2048&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=1dDrkCdHPWIQ7kNvwGBsvon&_nc_oc=Ado1lf7eKD1gPKlS6NwCO0BswtpB2GqPY3kXygXLEelid6PIWEAy6LBORmfJ2UO7q__6m8p1L6FHNYOa6_EFZtx2&_nc_zt=14&_nc_ht=scontent.fsgn5-12.fna&_nc_gid=XvD1k_DO2b5QerhAqFHCqw&_nc_ss=7b2a8&oh=00_Af_VU8odaiQ7z47nAVS0CFWAPZ_JOVDTTkw33ynhEryPkg&oe=6A417B2A,
2026-06-18,"Nghề tư vấn bảo hiểm thu hút nhân sự từ nhiều lĩnh vực  Không còn giới hạn trong lĩnh vực chuyên môn, nhiều tư vấn viên giàu kinh nghiệm trong các ngành như bất động sản, ngân hàng, ôtô hay dịch vụ cao cấp đang chủ động mở rộng hoạt động sang lĩnh vực tư vấn bảo hiểm. Xu hướng này cho thấy nhu cầu gia tăng giá trị phục vụ khách hàng trong dài hạn, đồng thời đa dạng hóa nguồn thu nhập trong bối cảnh thị trường liên tục thay đổi.  Sau gần 10 năm làm tư vấn trong lĩnh vực bất động sản cao cấp tại TP HCM, ông Phạm Thanh Tùng (42 tuổi, phường Cô Giang) cho biết bản thân bắt đầu tìm kiếm những hướng đi mới để phát triển sự nghiệp. Theo ông, khi tư vấn viên đã ""chín nghề"", tích lũy đủ kinh nghiệm và có nền tảng khách hàng ổn định, nếu chỉ hoạt động ở một lĩnh vực sẽ không thể đáp ứng nhu cầu ngày càng đa dạng của khách hàng, thậm chí có thể khiến giá trị tư vấn bị giới hạn.  Đọc thêm tại đây: https://vnexpress.net/nghe-tu-van-bao-hiem-thu-hut-nhan-su-tu-nhieu-linh-vuc-5080213.html #ManulifeVietnam #TốtHơnMỗiNgày",Manulife Vietnam,60,19,2,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/ManulifeVietnam/posts/pfbid0841yS6btsBGwF9tAPbp99zuwBJEP6f79djG3YPGtkbjYZkRLQPWroi4EV8wVq9jGl,,
2026-06-17,"Bảo vệ tài chính trước áp lực lạm phát  Theo thời báo Tài chính Việt Nam, Bức tranh giá cả trong 4 tháng đầu năm 2026 cho thấy áp lực lạm phát vẫn hiện hữu khi chỉ số giá tiêu dùng (CPI) bình quân tăng 3,99% so với cùng kỳ năm trước, trong khi lạm phát cơ bản tăng 3,89%  Phân tích từ báo cáo của Cục Thống kê (Bộ Tài chính) cho thấy, lạm phát trong 4 tháng đầu năm chịu tác động chủ yếu từ 3 nhóm yếu tố lớn:  - Chi phí năng lượng và nguyên vật liệu tăng,  - Giá nhà ở và vật liệu xây dựng leo thang,  - Cùng với sự gia tăng của giá dịch vụ tiêu dùng, đặc biệt là ăn uống ngoài gia đình.  Khi chi phí sinh hoạt ngày càng tăng, những mục tiêu tài chính trong tương lai cũng có thể phải đối mặt với nhiều thách thức hơn nếu không được chuẩn bị từ sớm. Chính vì vậy, việc xây dựng một kế hoạch tài chính dài hạn sẽ giúp mỗi người chủ động hơn trước những biến cố trong cuộc sống, bảo vệ giá trị tài sản đã tích lũy từ trước cũng như duy trì các mục tiêu quan trọng của bản thân và gia đình.  Sản phẩm Bảo hiểm Liên kết đơn vị Xanh Tương Lai, với thiết kế là một giải pháp tài chính linh hoạt cho nhiều mục tiêu sống, giúp bạn bảo vệ cuộc sống, xây dựng nền tảng tài chính, và thích ứng linh hoạt theo nhịp sống năng động của chính mình: 💚Bình an trọn vẹn nhờ quỹ bảo hiểm tối ưu trước các rủi ro về sinh mạng và sức khỏe 💚Xây dựng tương lai hưng thịnh với danh mục Quỹ liên kết đơn vị ưu việt        - Tối ưu hóa thời gian tích lũy qua 3 Quỹ Hưng Thịnh với cơ chế tự động điều chỉnh danh mục đầu tư        - Đa dạng lựa chọn với 6 Quỹ theo khẩu vị rủi ro 💚Linh hoạt chuyển đổi kế hoạch bảo hiểm theo nhu cầu, đồng thời miễn phí chuyển đổi Quỹ và thay đổi tỷ lệ đầu tư vào Quỹ.  👉Đọc chi tiết về sản phẩm tại đây:  https://www.manulife.com.vn/vi/san-pham-bao-hiem/bao-hiem-lien-ket-dau-tu/bao-hiem-lien-ket-don-vi/xanh-tuong-lai.html #ManulifeVietnam #TốtHơnMỗiNgày",Manulife Vietnam,228,42,4,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/ManulifeVietnam/posts/pfbid02fgXaKHjvBkygiw8V7ZYRuW1rCauRCdbNyWkeBMp1PWNMK1D67PfpdBYLA28R2tpKl,https://scontent.fsgn5-6.fna.fbcdn.net/v/t39.99422-6/725147505_837780789150088_4919895806007284564_n.png?stp=dst-jpg_tt6&cstp=mx1600x2000&ctp=s1080x2048&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=WcbRfIXEwsAQ7kNvwHFue5t&_nc_oc=Adq7e9dDnirYYAk-AvWw2ZGJYcbIxuLxBH4aTcQLn2lpYmQtsOWMjSZI6F98naUNR2hqGahYpVAaUkJrO6qmPJNx&_nc_zt=14&_nc_ht=scontent.fsgn5-6.fna&_nc_gid=7o01T7ZXRvZlysy0x3zsfw&_nc_ss=7b2a8&oh=00_Af9PbVKJkfEHdvyOI6b730JIt2v-zPjWSaSJeGG1yZCl3w&oe=6A4175C4,
2026-06-15,"Bảo hiểm nhân thọ đang dần trở thành một nhu cầu thiết yếu trong cuộc sống của nhiều gia đình Việt.  Trước đây, bảo hiểm nhân thọ từng được nhìn nhận với nhiều e ngại. Nhưng ngày nay, ngày càng nhiều gia đình Việt xem đây là một phần quan trọng trong kế hoạch tài chính và bảo vệ tương lai.  (*)Theo khảo sát của IFM Research với 1.265 người trên toàn quốc, có tới 89% người tham gia đánh giá bảo hiểm nhân thọ là một nhu cầu thiết yếu. Trong đó: - 57% cho rằng BHNT giúp bảo vệ trước rủi ro bệnh tật, tai nạn, tử vong - 45% nhấn mạnh vai trò ổn định tài chính cho gia đình.  Sự thay đổi này cho thấy người dân Việt Nam đang ngày càng quan tâm đến lập kế hoạch tài chính, bảo vệ gia đình và chuẩn bị cho các rủi ro dài hạn.  Với đa dạng giải pháp bảo vệ, chăm sóc sức khỏe và tích lũy tài chính, Manulife đồng hành cùng các gia đình Việt trên hành trình chủ động xây dựng nền tảng tài chính vững vàng và an tâm hơn trước những biến cố của cuộc sống.  Bạn đang tìm kiếm giải pháp giúp bảo vệ sức khỏe, duy trì sự ổn định tài chính và chuẩn bị cho tương lai của gia đình? Hãy khám phá các sản phẩm của Manulife để tìm hiểu những giải pháp phù hợp với nhu cầu của bạn và người thân.  Tìm hiểu chi tiết tại đây: https://www.manulife.com.vn/vi/san-pham-bao-hiem.html (*) Nguồn:  Báo cáo Nghiên cứu dư luận xã hội và Chính sách tiếp cận cộng đồng trong bảo hiểm nhân thọ do Hiệp hội Bảo hiểm Việt Nam (IAV) #ManulifeVietnam #TốtHơnMỗiNgày",Manulife Vietnam,265,96,3,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/ManulifeVietnam/posts/pfbid0kcfEAjghnVtkDAVe5opCw6MpN4XTW2vU1rsM6DtXJE1DNVeAWyYirtb8npjYPFUsl,https://scontent.fsgn5-11.fna.fbcdn.net/v/t39.99422-6/724158441_1503397157921821_8778783495823481293_n.png?stp=dst-jpg_tt6&cstp=mx2048x2048&ctp=s1080x2048&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_ohc=q_-aKSFSBNkQ7kNvwFKy6gj&_nc_oc=Ado5k_1MDLOGzR4h5Tcvc7FWxE4VWDPRoYSeTUSOxGHwYkA0AL0oXMZE3UHJ_oaHYtldbcMDrlRGpJ32DGHwy-Eh&_nc_zt=14&_nc_ht=scontent.fsgn5-11.fna&_nc_gid=7o01T7ZXRvZlysy0x3zsfw&_nc_ss=7b2a8&oh=00_Af8eNauBzwL68UZ1vYY9DY_AzpRBf6aRzEAFvDl0lltwNA&oe=6A41795F,
2026-06-14,"Vui vẻ trọn hè với bí kíp 2-2☀️   Biết ngày hè nắng gắt, nóng bức, dễ khiến cơ thể tụt năng lượng. Manulife gợi ý bí kíp 2-2 giúp bạn luôn khỏe, tận hưởng mùa hè   💧2 ngón tay: Chỉ cần lượng kem chống nắng dài bằng ngón trỏ và ngón giữa, vừa đủ tạo “lá chắn” bảo vệ da mặt và cổ, để bạn tự tin xuống phố.  💧2 điểm mạch: Khi cảm thấy quá nóng, hãy chườm mát hai vị trí mạch máu sát da như cổ và khuỷu tay. Điều này sẽ giúp tản và hạ nhiệt cơ thể nhanh chóng.  Áp dụng và chia sẻ bí kíp này với người thân để ta cùng nhau tận hưởng mùa hè thật trọn vẹn nhé 🌿💚 #ManulifeVietnam #TốtHơnMỗiNgày",Manulife Vietnam,50,7,0,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/ManulifeVietnam/posts/pfbid0YNggZC9rTRAXZUjS4vyYyKGjq7rYHUwyGZHorkXSyRdqdNzCBdWFovdTtRn7PD8kl,https://scontent.fsgn5-11.fna.fbcdn.net/v/t39.99422-6/722664842_1326718378841211_2418089634327207160_n.png?stp=dst-jpg_tt6&cstp=mx1600x2000&ctp=s1080x2048&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_ohc=S-uExVjKKa8Q7kNvwGBugnI&_nc_oc=AdqzrCXQLE4eyXvu6z4kQX8ZWh9jfFQl56NLe1MH6SidmEUtM_AE0FIIIDkXYLhYYLGUgUJXhdM2SUk4cgNs2rJE&_nc_zt=14&_nc_ht=scontent.fsgn5-11.fna&_nc_gid=nPMsI8FXVdk00jDS5pk5PQ&_nc_ss=7b2a8&oh=00_Af_2mz9KJlI6Hz9EtIjiUbetsyWlIq3IPZqrJlawxA_tGw&oe=6A415803,
2026-06-13,"[Mini game] Manulife mừng sinh nhật 27 năm: Gửi lời chúc hay - Nhận quà liền tay  Vào 12/6 vừa qua, Manulife chính thức bước sang tuổi 27 tại Việt Nam, đánh dấu hành trình bền bỉ vì một cuộc sống tốt hơn mỗi ngày cùng người Việt.  💚 Nhân dịp đặc biệt này, Manulife dành tặng bạn một minigame thú vị với những phần quà hấp dẫn là 50 voucher Got it dành cho 50 người chơi may mắn, mỗi voucher trị giá 100.000 VNĐ   💬 Còn chần chừ gì nữa, hãy để lại lời chúc ý nghĩa dành cho Manulife nhân dịp sinh nhật lần thứ 27 và có cơ hội nhận quà từ Manulife nhé.  Bước 1: Share bài viết này ở chế độ công khai kèm hashtag #ManulifeVietnam #TốtHơnMỗiNgày Bước 2: Bình luận lời chúc của bạn Bước 3: Tag tên 2 người bạn kèm số may mắn tư 0- 9999 Ví dụ: Chúc mừng sinh nhật 27 năm của Manulife! Chúc Manulife ngày càng phát triển vững mạnh, tiếp tục lan tỏa những giá trị tốt đẹp và đồng hành cùng hàng triệu gia đình Việt trên hành trình xây dựng cuộc sống tốt hơn mỗi ngày 2345  🗓 Thời gian tham gia: 13/6 - 19/6/2026 🗓 Kết quả minigame sẽ được công bố dưới bài đăng này vào ngày 26/06/2026   Lưu ý: • Câu trả lời hợp lệ sẽ được tính khi hoàn thiện theo đúng cú pháp. • Khách hàng trúng thưởng là những người tham gia đúng và đầy đủ thể lệ. • Quyết định khách hàng trúng giải của ban tổ chức (“BTC”) là quyết định cuối cùng. • BTC sẽ quay số 50 lần để tìm ra 50 người chơi may mắn, nếu có nhiều người cùng bình luận một số giống nhau thì BTC sẽ lựa chọn người có bình luận sớm nhât  #ManulifeVietnam #TốtHơnMỗiNgày",Manulife Vietnam,785,768,6030,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/reel/866706332623676/,,https://www.facebook.com/reel/866706332623676/
2026-06-13,"Điều gì tạo nên sự khác biệt của chương trình tuyển dụng “Đại sứ Xanh Phú Quý”?  Được thiết kế dành riêng cho những ứng viên mong muốn phát triển sự nghiệp chuyên nghiệp và bền vững, chương trình tuyển dụng Tư vấn Tài chính – Bảo hiểm ""Đại sứ Xanh Phú Quý"" tập trung hỗ trợ ứng viên trong giai đoạn chuyển đổi nghề nghiệp và xây dựng năng lực tư vấn toàn diện với nhiều đặc quyền nổi bật:  - Hỗ trợ tài chính 90 ngày đầu tiên, nhằm giảm áp lực khi bắt đầu hành trình mới. - Trang bị cho đội ngũ tư vấn hệ sinh thái công nghệ hiện đại cùng các công cụ AI hỗ trợ phân tích nhu cầu khách hàng, chuẩn bị phương án tư vấn và nâng cao hiệu quả làm việc. - Chương trình đào tạo chuyên sâu về bảo hiểm, hoạch định tài chính và quản lý tài sản, giúp nâng cao năng lực tư vấn theo những tiêu chuẩn ngày càng cao của thị trường. - Một điểm khác biệt quan trọng khác là định hướng xây dựng thương hiệu cá nhân cho từng tư vấn viên. Thay vì chỉ tập trung vào kết quả kinh doanh ngắn hạn, chương trình hướng đến việc giúp các tư vấn viên phát triển hình ảnh chuyên gia tư vấn tài chính chuyên nghiệp, từ đó xây dựng uy tín và sự nghiệp bền vững trong dài hạn  Với “Đại sứ Xanh Phú Quý”, bạn không đơn thuần trao đi một giải pháp bảo hiểm. Bạn đồng hành cùng khách hàng trên hành trình bảo vệ, tích lũy và kiến tạo gia sản cho hôm nay và mai sau.  Đăng ký ứng tuyển tại đây: https://www.manulife.com.vn/vi/tuyen-dung/form-dang-ky-dai-su-xanh-phu-quy.html #ManulifeVietnam  #đạisứxanhphúquý #KienTaoGiaSan #TốtHơnMỗiNgày",Manulife Vietnam,74,5,1,https://www.facebook.com/ManulifeVietnam,https://www.facebook.com/ManulifeVietnam/posts/pfbid034CgU6S1ZKjogSWJF9ewVa6KDAjdfB8VEtpfLvnYNAZ4DZXqXq8dQ8oFQLL9KYvEBl,https://scontent.fsgn5-9.fna.fbcdn.net/v/t39.99422-6/722935240_1738165494161613_2592233863477026371_n.png?stp=dst-jpg_tt6&cstp=mx2048x2048&ctp=s1080x2048&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=jZMRxi2_6lQQ7kNvwGqLqFw&_nc_oc=Adp7GvO4f3WAdQP4tWOsmku1lmDIajsZEYt9WoPTJb0g__zMdkCG0Huav5bi-2yIqYYLSP5khfQQBdWamX84MMPl&_nc_zt=14&_nc_ht=scontent.fsgn5-9.fna&_nc_gid=nPMsI8FXVdk00jDS5pk5PQ&_nc_ss=7b2a8&oh=00_Af9Oveafusa3iYMM90ug4DsumjaZFeEDcprI8UOX3y5Zcw&oe=6A41598A,
