post_date,content,fanpage_name,reaction,share,comment,fanpage_url,post_url,image_urls,video_url
2026-06-23,"💬 CÓ MỘT “PHIÊN BẢN” CỦA CON MÀ BỐ MẸ CHƯA BIẾT…  Nối tiếp Series Health Talk “Khởi đầu nhỏ, khỏe chủ động"", trong Tập 3 sắp tới đây, hãy cùng Prudential khám phá xem:  ▪︎ Đâu là “phiên bản” của con mà “chỉ con” mới biết? ▪︎ Liệu phiên bản đó có được tìm thấy qua câu chuyện trên bàn ăn, trong những buổi đưa con đi học, hay trong những sinh hoạt thường ngày? ▪︎ Còn điều gì bố mẹ chưa nhìn thấy và cần ""chủ động"" làm để gìn giữ trọn vẹn góc nhìn hồn nhiên quý giá của con?  ⏩ Cùng đón xem Tập 3 Health Talk “Khởi đầu nhỏ, khỏe chủ động"" sắp phát sóng để cùng chuyên gia và các khách mời đặc biệt “bật mí"" những “bí mật"" này nhé!  #Prudential #Health_Talk_Tập_3 #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động",Bảo hiểm Nhân thọ Prudential Việt Nam,148,3,0,https://www.facebook.com/Prudential.pva,https://www.facebook.com/Prudential.pva/posts/pfbid0zXqB3RHsXK6Sf51bUtAKu6kToYWMtgkuVgfQqLQ9fjFtpm8muw6ghpE3mV2rky5Zl,https://scontent.fsgn5-3.fna.fbcdn.net/v/t39.99422-6/729390063_26554627647545065_3499868990883498790_n.png?stp=dst-jpg_tt6&cstp=mx1638x2048&ctp=s1080x2048&_nc_cat=1&ccb=1-7&_nc_sid=833d8c&_nc_ohc=rhc2E12ZhssQ7kNvwFIrC6h&_nc_oc=AdqlgfeqhPO1aCqWV5IHHsNvRw139c20quRXLqxvs69RSohz3kyn6Z2zDyGT_KpkwZBtS29UNJP9JGV84wo0R2mI&_nc_zt=14&_nc_ht=scontent.fsgn5-3.fna&_nc_gid=nS1I4ANFxu9hntUZzcnKtw&_nc_ss=7b2a8&oh=00_Af-Od3X4Dr-jo5F45O4-oiPpUMgY6kpwSTvPfoucrJkT-g&oe=6A4170C7,
2026-06-20,"📣 Chúc mừng Ngày Báo chí Cách mạng Việt Nam 21/6   Nhân dịp Ngày Báo chí Cách mạng Việt Nam, Prudential Việt Nam trân trọng ghi nhận những đóng góp của các cơ quan báo chí, nhà báo, phóng viên và biên tập viên trong việc mang đến những thông tin chính xác, khách quan và đáng tin cậy cho cộng đồng.   Thông qua việc lan tỏa những thông tin hữu ích và góc nhìn đa chiều, báo chí không chỉ góp phần nâng cao nhận thức của người dân mà còn giúp củng cố niềm tin, thúc đẩy sự minh bạch và hỗ trợ cộng đồng đưa ra những quyết định sáng suốt hơn cho cuộc sống và tương lai.   ❤️ Xin cảm ơn sự đồng hành của các cơ quan báo chí trong hành trình lan tỏa những giá trị tích cực đến khách hàng và cộng đồng.  #Prudential #Yên_Tâm #Mừng_Ngày_Báo_Chí_Cách_Mạng",Bảo hiểm Nhân thọ Prudential Việt Nam,116,11,3,https://www.facebook.com/Prudential.pva,https://www.facebook.com/Prudential.pva/posts/pfbid0zyVjSHJ1XqMxSm3sE6EBXTYSAB9uZr7naq35hCAp78ZbiAyqnYSLLosTt7r2NuR6l,https://scontent.fsgn5-5.fna.fbcdn.net/v/t39.99422-6/729716802_1502084851716305_3914593205791963421_n.png?stp=dst-jpg_tt6&cstp=mx1638x2048&ctp=s1080x2048&_nc_cat=100&ccb=1-7&_nc_sid=833d8c&_nc_ohc=UAzpz31I1qEQ7kNvwGBufF_&_nc_oc=AdpOpJ7fs_KS3qLqAl6rnSDtJoQ6gKM_5crUA9GCBi3u3pUIz_Mq8CjcXU65C8Co0t0UuBQkcxnMJv4nJwpDFc7V&_nc_zt=14&_nc_ht=scontent.fsgn5-5.fna&_nc_gid=nPl6zaieJBNIaa45Vgg9XA&_nc_ss=7b2a8&oh=00_Af9WZtl1QKFcu4kJHSVYDdsdloeCRh5LJJCtWSMcxGhIgQ&oe=6A415619,
2026-06-20,"Chúc những người Cha – trụ cột thầm lặng của gia đình – luôn vững vàng, mạnh mẽ và có thêm thật nhiều khoảnh khắc ý nghĩa bên những người thân yêu.  Cha không chỉ là chỗ dựa ấm áp cho cả gia đình, mà còn là người bạn đồng hành cùng con trên hành trình trưởng thành. Từ những ước mơ đầu đời đến những khoảnh khắc vui đùa giản dị, Cha luôn ở đó, âm thầm chở che và vun đắp.  Nhân Ngày của Cha, hãy cùng Prudential tham gia minigame để gửi lời tri ân đến Cha – người vẫn âm thầm xây dựng nền tảng vững vàng để con có thể tự tin lớn lên, theo đuổi ước mơ và vững bước trên hành trình phía trước.  📌 CÁC BƯỚC THAM GIA:  Bước 1: Bình luận chia sẻ một khoảnh khắc bạn – người Cha trong gia đình đã chơi cùng con mình hoặc khoảnh khắc Cha của bạn từng chơi cùng bạn khi còn nhỏ.  Ví dụ: “Mỗi tối mình đều dành 30 phút chơi Lego cùng con để luyện tư duy” hoặc “Cuối tuần hai cha con mình đều duy trì thói quen đá banh trước nhà để rèn luyện sức khỏe”  ✅ Bước 2: Tag thêm 2 người bạn vào phần bình luận để cùng tham gia lan tỏa yêu thương.  ✅ Bước 3: Chia sẻ bài viết này về trang cá nhân ở chế độ công khai kèm theo hashtag #Prudential #Chúc_Mừng_Ngày_Của_Cha  Quà tặng hấp dẫn đang chờ bạn:   🎁 35 E-VOUCHER URBOX TRỊ GIÁ 100.000 VND sẽ dành cho 35 người chơi nhận được nhiều lượt bình chọn nhất của cộng đồng dựa trên lượt phản hồi bình luận (reply).  Dưới mỗi bình luận của người chơi, Prudential chỉ tính những lượt phản hồi (reply) có hashtag #Prudential là hợp lệ.  🎁 Ngoài ra, 20 người chơi may mắn nhất được chọn từ kết quả quay số ngẫu nhiên sẽ nhận ngay 01 phần quà “blind box” độc quyền đến từ nhà Prudential!  THỜI GIAN THAM GIA: - Từ ngày 20/06/2026 đến hết ngày 30/06/2026 - Thời gian công bố kết quả: ngày 06/07/2026  Lưu ý: - Mỗi tài khoản chỉ được nhận 01 giải thưởng duy nhất. - Tài khoản tham gia hoạt động có thể tham gia bình chọn (không giới hạn số lần bình chọn của một tài khoản), tuy nhiên không chấp nhận bình luận đã được chỉnh sửa - Chia sẻ được tính là hợp lệ khi thỏa các yêu cầu phía trên. - Ban tổ chức có quyền không trao giải thưởng nếu người trúng thưởng không cung cấp đầy đủ thông tin theo yêu cầu và không thỏa các điều kiện trên.  #Prudential #Chúc_Mừng_Ngày_Của_Cha",Bảo hiểm Nhân thọ Prudential Việt Nam,879,57,5902,https://www.facebook.com/Prudential.pva,https://www.facebook.com/Prudential.pva/posts/pfbid0zMtmCycP3ZEFhzyNpbCFdux5XHca7e3gT9568BRkdkTBSRLaBpfNqRSXGNbSzfvql,,
2026-06-19,"🎉 PRUDENTIAL VIỆT NAM ĐƯỢC VINH DANH TOP 10 CÔNG TY BẢO HIỂM NHÂN THỌ UY TÍN NĂM THỨ 10 LIÊN TIẾP  Prudential Việt Nam tự hào tiếp tục được Vietnam Report vinh danh trong Top 10 Công ty Bảo hiểm Nhân thọ Uy tín năm 2026. Bảng xếp hạng được xây dựng dựa trên các nguyên tắc khoa học, khách quan, với ba tiêu chí chính: năng lực tài chính, uy tín truyền thông và khảo sát các bên liên quan.   💡 Đặc biệt, đây là năm thứ 10 liên tiếp Prudential Việt Nam góp mặt trong bảng xếp hạng uy tín này – một dấu mốc ý nghĩa khẳng định nền tảng vững chắc, uy tín thương hiệu và niềm tin bền vững mà khách hàng, đối tác và cộng đồng dành cho Prudential Việt Nam.   Thành quả này là sự ghi nhận cho những nỗ lực không ngừng của Prudential Vietnam trong việc đặt khách hàng làm trọng tâm, liên tục đổi mới và mang đến các giải pháp bảo vệ phù hợp hơn với nhu cầu của người Việt.   🏆 Cột mốc 10 năm liên tiếp không chỉ là niềm tự hào, mà còn là động lực để Prudential Việt Nam tiếp tục với sứ mệnh: “Mang yên tâm trọn vẹn đến mỗi gia đình Việt”. --- Nguồn: https://vietnamreport.net/Top-10-Cong-ty-Bao-hiem-uy-tin-nam-2026-12500-1006.html  #Prudential #Top_10_BHNT_Uy_Tín",Bảo hiểm Nhân thọ Prudential Việt Nam,570,199,100,https://www.facebook.com/Prudential.pva,https://www.facebook.com/Prudential.pva/posts/pfbid0bQjNCf9T9YxZVrdqyfBuBgqLEVxyVikkfthZodDRNGJ1ncUF4dykWbSopkrDNBpUl,https://scontent.fsgn5-6.fna.fbcdn.net/v/t39.99422-6/727259175_2543027372822696_5841422637912823038_n.png?stp=dst-jpg_tt6&cstp=mx2048x2048&ctp=s1080x2048&_nc_cat=108&ccb=1-7&_nc_sid=833d8c&_nc_ohc=lj2JTGVN6DgQ7kNvwGbtBh4&_nc_oc=AdrZUZj44X9mEihSEboH7YD5kyLzwmqWwxNZkhZT8EUX7YBrJezj83TU7IGMomjFuEdROfl9fiMgAPfcW5Lk63Sj&_nc_zt=14&_nc_ht=scontent.fsgn5-6.fna&_nc_gid=nPl6zaieJBNIaa45Vgg9XA&_nc_ss=7b2a8&oh=00_Af-NMJtXzpIpgYf5gkhy_1Nnqi-lKvP4W7ubj4Fdhdti0Q&oe=6A41637A,
2026-06-16,"KHỎE CHỦ ĐỘNG: “DỰ PHÒNG"" HÔM NAY, YÊN TÂM SỐNG TRỌN MỖI NGÀY   “Dự phòng sức khỏe” không chỉ là một khái niệm, mà là cả một lối sống, bắt đầu từ:  ▪️ Chế độ ăn uống hợp lý. ▪️ Thực hành vận động mỗi ngày. ▪️ Sở hữu giấc ngủ chất lượng. ▪️ Giữ gìn không gian sống trong lành.  ✅ Và song hành cùng những điều đó, một kế hoạch tài chính dự phòng cho sức khỏe là rất quan trọng, để gia đình luôn vững vàng và an tâm trước những rủi ro về sức khỏe không lường trước.   🎧 Cùng lắng nghe Tập 2 của Health Talk “Khởi đầu nhỏ, khỏe chủ động”, nơi TS. BS Đỗ Thị Ngọc Diệp cùng cặp đôi Thảo Nari và Quang Thái mang đến những góc nhìn thực tế và chia sẻ đầy giá trị về cách xây dựng một lối sống “khỏe chủ động” toàn diện.    Chính từ sự “chủ động” đó, dù là những “khởi đầu” rất nhỏ, cũng sẽ góp phần tạo nên nền tảng vững chắc cho sức khỏe thể chất, tinh thần lẫn tài chính của cả gia đình.   ❤️ Đừng để đến khi cần thiết mới bắt đầu. Hãy để PRUYên Tâm Vui Khỏe - giải pháp bảo vệ đơn giản, dễ tiếp cận - đồng hành cùng bạn và những người thân yêu trên hành trình “khỏe chủ động” để thêm tự tin sống trọn mỗi ngày. — Tìm hiểu thêm chi tiết sản phẩm tại: bit.ly/PRUYen-Tam-Vui-Khoe   #Prudential #Health_Talk_Tập_2 #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động",Bảo hiểm Nhân thọ Prudential Việt Nam,1125,20,59,https://www.facebook.com/Prudential.pva,https://www.facebook.com/reel/4491382587773736/,,https://www.facebook.com/reel/4491382587773736/
2026-06-13,"💡 Bạn là người cầm lái con thuyền gia đình. Mỗi ngày, bạn không ngừng nỗ lực để giữ con thuyền đó đi đúng hướng – từ những ước mơ, dự định tương lai đến việc chăm lo sức khỏe và tài chính cho cả nhà. Nhưng chăm lo không chỉ là tích lũy nhiều hơn hay sống khỏe hơn. Mà còn là chuẩn bị sẵn cho những cơn “giông” bất chợt có thể ập đến bất kỳ lúc nào.  Thế nhưng sự chuẩn bị đó đã đủ?   Khi rủi ro sức khỏe xảy ra, điều khiến nhiều người lo ngại đầu tiên là chi phí y tế. Trên thực tế, dù 94% người Việt đã tham gia Bảo hiểm y tế (*), vẫn có khoảng 38% chi phí y tế vẫn phải tự túc chi trả (**).  Tuy nhiên, đó mới chỉ là phần nổi của tảng băng chi phí. Phần chìm của tảng băng là những áp lực tài chính khác kéo dài, ảnh hưởng đến sự ổn định của cả gia đình, mới là điều gây lo lắng nhất:  👉 Thu nhập có thể bị gián đoạn do nằm viện điều trị bệnh 👉 Chi phí sinh hoạt cho cả gia đình vẫn phải duy trì mỗi ngày 👉 Và hàng loạt khoản chi “vô hình” trong suốt quá trình điều trị và hồi phục   Chính “phần chìm” chi phí, cộng với sự thiếu vắng một điểm tựa tài chính đủ vững, mới là điều khiến con thuyền gia đình thực sự chao đảo.  Xuất phát từ thực tế đó, sản phẩm bảo hiểm tử kỳ PRUYên Tâm Vui Khỏe mang đến một giải pháp bảo hiểm vững chắc, lấp đầy một số khoảng trống bảo vệ và giúp gia đình không ""chao đảo"" trước rủi ro, đồng thời bạn còn có thể linh hoạt kết hợp với các sản phẩm bán cùng để chăm sóc sức khoẻ.   Sản phẩm mang đến các giá trị cốt lõi:  ▪️Yên tâm phù hợp tài chính gia đình: với mức phí phù hợp, giúp bạn dễ dàng bắt đầu bảo vệ ngay từ hôm nay và duy trì lâu dài mà không gây áp lực lên các kế hoạch tài chính khác. ▪️Yên tâm đơn giản, dễ hiểu: tập trung vào các nhu cầu bảo vệ cơ bản, thiết yếu nhất. ▪️Yên tâm linh hoạt theo nhu cầu: linh hoạt kết hợp với các sản phẩm bảo hiểm bán cùng, tạo nên gói giải pháp bảo vệ và chăm sóc sức khỏe toàn diện theo nhu cầu riêng mà bạn mong muốn. Đừng để những rủi ro nằm ngoài dự tính làm chao đảo mọi kế hoạch của gia đình. Hãy gia cố nền tảng bằng một giải pháp bảo hiểm thiết thực để gia đình luôn vững vàng đi xa hơn  --- (*) Theo Vietnam Social Security (**) Theo World Bank  Nội dung trình bày nêu trên chỉ mang tính chất tóm lược. Vui lòng tham khảo chi tiết quyền lợi, điều kiện áp dụng, giới hạn chi trả và điều khoản loại trừ của Sản phẩm bảo hiểm tử kỳ PRUYên Tâm Vui Khỏe tại đây: bit.ly/PRUYen-Tam-Vui-Khoe  #Prudential #PRUYên_Tâm_Vui_Khỏe",Bảo hiểm Nhân thọ Prudential Việt Nam,249,11,0,https://www.facebook.com/Prudential.pva,https://www.facebook.com/reel/1364442685573051/,,https://www.facebook.com/reel/1364442685573051/
2026-06-12,"🏆 Prudential Việt Nam vinh dự được vinh danh tại Top 50 Doanh nghiệp Phát triển Bền vững 2026 ở hạng mục Hoạt động Trách nhiệm Cộng đồng (CSR) Nổi bật.  Sự ghi nhận này phản ánh cam kết dài hạn của chúng tôi trong việc tạo ra những giá trị bền vững cho cộng đồng thông qua hành trình “Trao Gửi Yên Tâm”, với hơn 325 tỷ đồng đầu tư cho các hoạt động cộng đồng và hơn 600.000 người hưởng lợi kể từ năm 2011.  Trong khuôn khổ chương trình, Prudential cũng tham gia Hội nghị Thượng đỉnh “Cuộc Đại Chuyển đổi 3P”, chia sẻ góc nhìn về vai trò của bảo hiểm nhân thọ trong việc nâng cao khả năng chống chịu tài chính cho người dân và kiến tạo nguồn vốn dài hạn cho nền kinh tế.  Gần 27 năm đồng hành cùng Việt Nam, Prudential tiếp tục kiên định với cam kết phát triển bền vững, tạo ra giá trị lâu dài cho khách hàng, cộng đồng và các thế hệ tương lai.  #Prudential #CSA2026 #Trao_Gửi_Yên_Tâm",Bảo hiểm Nhân thọ Prudential Việt Nam,87,34,12,https://www.facebook.com/Prudential.pva,https://www.facebook.com/Prudential.pva/posts/pfbid032v6CCmtPQfHnBdGZoc5G4uQ5bcCu3fy3BNLDa16DTsGUFXsJaewEa58XPGFiJHDAl,,
2026-06-10,"🎙️ HEALTH TALK TẬP 2 | NỀN TẢNG DINH DƯỠNG - ""KHỞI ĐẦU NHỎ"" ĐỂ ""KHOẺ CHỦ ĐỘNG"" MỖI NGÀY  ▪️“Khỏe chủ động” có phải chỉ dừng lại ở việc ăn uống đa dạng các loại thực phẩm?  ▪️Liệu có thói quen nào đang âm thầm ảnh hưởng đến sức khỏe mà các gia đình trẻ thường ít để tâm? ▪️Và làm thế nào để chủ động thiết lập một nền tảng dinh dưỡng bền vững, đúng cách nhưng vẫn tối ưu được chi phí?  Những câu hỏi ấy đã được giải đáp một cách tự nhiên và gần gũi qua chính câu chuyện của cặp đôi Thảo Nari và Quang Thái, cùng sự đồng hành của TS. Bác sĩ Đỗ Thị Ngọc Diệp trong Tập 2 của Health Talk “Khởi đầu nhỏ, khỏe chủ động”.  🎧  Cùng lắng nghe trọn vẹn Tập 2 để khám phá tầm quan trọng của nền tảng dinh dưỡng. Một khi được xây dựng từ sớm, chính nền tảng ấy sẽ tiếp thêm năng lượng để mỗi thành viên trong gia đình yên tâm tận hưởng cuộc sống, tự do theo đuổi đam mê.  ❤️ Thấu hiểu rằng hành trình ""khoẻ chủ động"" không chỉ dừng lại ở chế độ dinh dưỡng mỗi ngày, mà còn cần một bệ đỡ tài chính vững vàng trước những biến cố bất ngờ. Để bạn yên tâm trọn vẹn trên hành trình ấy, Prudential giới thiệu Sản phẩm bảo hiểm tử kỳ PruYên Tâm Vui Khoẻ - một ""lá chắn"" bảo vệ đơn giản, dễ hiểu và dễ mua, đồng thời cho phép bạn kết hợp với các sản phẩm bán cùng để chủ động gia tăng sức khoẻ. --- Nội dung trình bày nêu trên chỉ mang tính chất tóm lược. Vui lòng tham khảo chi tiết quyền lợi, điều kiện áp dụng, giới hạn chi trả và điều khoản loại trừ của Sản phẩm bảo hiểm tử kỳ PRUYên Tâm Vui Khỏe tại đây: bit.ly/PRUYen-Tam-Vui-Khoe   #Prudential #Health_Talk_Tập_2 #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động",Bảo hiểm Nhân thọ Prudential Việt Nam,833,6,41,https://www.facebook.com/Prudential.pva,https://www.facebook.com/reel/1850448323003621/,,https://www.facebook.com/reel/1850448323003621/
2026-06-10,"💡 Nếu có thể thêm một thứ vào hành trang mùa thi của con, bố mẹ sẽ chọn điều gì?  Chắc chắn câu trả lời đầu tiên chính là lời cổ vũ ấm áp trước giờ G, để con biết rằng sau lưng mình luôn có vòng tay yêu thương của gia đình.   Bên cạnh điểm tựa tinh thần lúc này, hành trang ấy sẽ trọn vẹn hơn bao giờ hết nếu có thêm một sự chuẩn bị dài lâu cho tương lai phía trước của con.  Đó là cam kết bảo đảm cho tương lai của con luôn vững chãi trong mọi tình huống, là tấm khiên thầm lặng để con kiên cường, tự tin sải cánh trước mọi thử thách của cuộc đời.  ☀️ Chúc các sĩ tử vững tâm, tự tin viết tiếp ước mơ của mình nhé!  #Prudential #Yên_Tâm #Thi_Tốt_Nghiệp_THPT",Bảo hiểm Nhân thọ Prudential Việt Nam,949,37,52,https://www.facebook.com/Prudential.pva,https://www.facebook.com/Prudential.pva/posts/pfbid02kxyKuDAd2mEQmzfamd5XAYME4yyaMx73NSbJu9y21J8HJSZg7R2EqH4wxWhAHvTQl,https://scontent.fsgn5-12.fna.fbcdn.net/v/t39.99422-6/721209384_1808842173431618_76339049004564601_n.png?stp=dst-jpg_tt6&cstp=mx1638x2048&ctp=s1080x2048&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=PKwASV8abLwQ7kNvwEfJihh&_nc_oc=AdpOpq8Ysqv_mcRafzSv4JOLQsHsDvYxO7cTDPWeyA3aTluEdb2Z5cEQMzLNZi5GMMvWVzu00WcdAARgHUoPs2mV&_nc_zt=14&_nc_ht=scontent.fsgn5-12.fna&_nc_gid=A_KTT5YVn1zqLenjGJoLsQ&_nc_ss=7b2a8&oh=00_Af_1QEftgeh-EiIsnwmlqMkfAz_OGmADfZwmB4LPpHi2bg&oe=6A417DBB,
2026-06-09,"Cuộc sống đôi khi khó hiểu, đắt đỏ và khó linh hoạt theo ý mình muốn. Nhưng sản phẩm bảo hiểm tử kỳ PruYên Tâm Vui Khỏe thì không như vậy.   👉🏻 Xem ngay video để khám phá các tính năng xịn sò của sản phẩm này nhé! --- Nội dung trình bày nêu trên chỉ mang tính chất tóm lược. Vui lòng tham khảo chi tiết quyền lợi, điều kiện áp dụng, giới hạn chi trả và điều khoản loại trừ của Sản phẩm bảo hiểm tử kỳ PRUYên Tâm Vui Khỏe tại đây: bit.ly/PRUYen-Tam-Vui-Khoe  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động #PRUYên_Tâm_Vui_Khoẻ",Bảo hiểm Nhân thọ Prudential Việt Nam,290,6,20,https://www.facebook.com/Prudential.pva,https://www.facebook.com/reel/1337543954409451/,,https://www.facebook.com/reel/1337543954409451/
