post_date,content,fanpage_name,reaction,share,comment,fanpage_url,post_url,image_urls,video_url
2026-06-21,"Gót nhỏ tung tăng miền nắng rạng Nương dấu chân cha bước vững vàng  Cảm ơn cha vì chọn làm điểm tựa kiên trung để con tự tin hướng về những chân trời rực rỡ. Tình yêu của cha không chỉ nằm ở lời nói mà ở sự nỗ lực thầm lặng để đảm bảo cho con một điểm tựa an toàn trước mọi biến chuyển của cuộc đời.  Nhân Ngày của Cha, mời bạn cùng Sun Life Việt Nam gửi lời tri ân chân thành đến ""điểm tựa"" vững chãi của đời mình. Chúng tôi luôn sẵn sàng đồng hành cùng bạn thiết kế những giải pháp bảo vệ tối ưu để sự an tâm luôn lan tỏa trong mỗi nếp nhà.  #SunLifeVietNam #NgaycuaCha",Sun Life Việt Nam,18,4,1,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid02h9vufmwgAmLxSnsWPbpJGA6Whd2aHA7w5XgNTShkhm2PYtKFUemWwJQNcmP1QpHJl,https://scontent.fsgn5-12.fna.fbcdn.net/v/t39.99422-6/728819966_2225900998235127_7069317901177142937_n.png?stp=dst-jpg_tt6&cstp=mx1200x1200&ctp=s1080x2048&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=lHEyhj3GJmAQ7kNvwH5nNYI&_nc_oc=AdoSuzImXI3VbIgsolrGXzatiGP7KQjeUVkrq_eBqM1NBvMDg_j2HGDN6P41Pd7iXRbS1yxoCeJYD3apxIzWKvSY&_nc_zt=14&_nc_ht=scontent.fsgn5-12.fna&_nc_gid=xWrIxpA3SECgoMv8PW-kYg&_nc_ss=7b2a8&oh=00_Af_oy6n2XtOAsk5E_5nlormD7ZEB8jAU6xS11GmOWgQJDA&oe=6A412D9A,
2026-06-19,"Hành trình 25 năm cùng ngành Bảo Hiểm Nhân Thọ được nối dài tại Sun Life Việt Nam.  Bên cạnh những chân dung lộng lẫy bởi các thành tích ấn tượng, có những hành trình được chạm khắc tỉ mỉ từ sự kiên trì trong thầm lặng. Không náo nhiệt và khoa trương, sự rực rỡ của họ được phản chiếu bởi thành công của đồng đội và sự hài lòng của khách hàng. Đó chính là câu chuyện của anh Nguyễn Minh Tuấn. Ở tuổi ngoài 50, anh đã gắn bó gần một nửa đời mình cho ngành bảo hiểm nhân thọ và đặc biệt là tại Kênh Đại lý Sun Life Việt Nam.  Mời bạn cùng xem thêm hành trình của anh Nguyễn Minh Tuấn: https://www.sunlife.com.vn/vn/ve-chung-toi/tuyen-dung/tro-thanh-tu-van-tai-chinh/cau-chuyen-tu-van-vien-tai-chinh/nguyen-minh-tuan/",Sun Life Việt Nam,157,4,39,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid0anN5jApVzqJHKXsmeRqqdz1Fm285BMjKfQgcrv8RAtsPJcRRmw7ycxvHasCxgrAwl,https://scontent.fsgn5-21.fna.fbcdn.net/v/t39.99422-6/727446968_1625967268497675_6649580164746403259_n.png?stp=dst-jpg_tt6&cstp=mx2000x2000&ctp=s1080x2048&_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=cK7ReF0x0VYQ7kNvwH9NySK&_nc_oc=AdrU9f996U6XZN_kgav2Xcz0OzUzzJv5YWAGBVHVdppJzg6kHqjglDPiet3ER6ZVjbxNjDINecBSqMCQEGaIZGWt&_nc_zt=14&_nc_ht=scontent.fsgn5-21.fna&_nc_gid=xWrIxpA3SECgoMv8PW-kYg&_nc_ss=7b2a8&oh=00_Af_6S_uZAPcXkeFcKYGF01f9TuDz2qEEufOQqV3QQr6H8Q&oe=6A41224A,
2026-06-17,"Nên chọn bảo hiểm nhân thọ như thế nào?  Mỗi chúng ta đều đang ở một giai đoạn khác nhau trong đời với những ưu tiên và trách nhiệm rất riêng.  Vì vậy, việc lựa chọn bảo hiểm nên bắt đầu từ chính nhu cầu của bạn:    • Bạn cần bảo vệ điều gì? (sức khỏe, thu nhập hay gia đình)    • Khả năng tài chính của bạn đến đâu?    • Bạn đang hướng đến mục tiêu nào trong tương lai?  Khi trả lời được những câu hỏi này, việc lựa chọn sẽ trở nên rõ ràng hơn rất nhiều. Bạn không cần chọn “nhiều nhất”, mà cần chọn “đúng và đủ” để có thể duy trì lâu dài và thực sự mang lại giá trị.  📩 Mời bạn để lại thông tin để Sun Life Việt Nam đồng hành cùng bạn trong việc tìm ra giải pháp phù hợp nhất: https://www.sunlife.com.vn/vn/ve-chung-toi/lien-he/dang-ky-tu-van/   #SunLifeVietNam #Baohiemnhantho",Sun Life Việt Nam,34,5,2,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid0xizMYrkEHsMPrmtrp3SLfAGj5hSULMd8sX9XCQirAUU2fXPxvbP14gCV58XDpyzil,https://scontent.fsgn5-5.fna.fbcdn.net/v/t39.99422-6/725860111_987173930603351_1263869387946854056_n.png?stp=dst-jpg_tt6&cstp=mx1200x1200&ctp=s1080x2048&_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=zmnskomaCBsQ7kNvwFvm7eT&_nc_oc=AdrIfrna00kPa7aliSMcEFPMGhHMG8t48a5ibA1IY7ow2DUBLliWKFW9hrYnBsGU-082FAke2CDpOi9TJsMhQ27-&_nc_zt=14&_nc_ht=scontent.fsgn5-5.fna&_nc_gid=xWrIxpA3SECgoMv8PW-kYg&_nc_ss=7b2a8&oh=00_Af9Uu5yUx96mOI_IQejuzvVl5YYWf9I6YQN9q4s48Oo0jA&oe=6A413707,
2026-06-14,"Với chị Hạnh, giữa nhịp sống bận rộn của một người mẹ hai con nhỏ, việc chuẩn bị cho tương lai không đến từ những kế hoạch lớn lao, mà bắt đầu từ những lựa chọn rất thực tế. Bên cạnh các kênh đầu tư, chị chọn bảo hiểm như một cách an toàn hơn để tích lũy cho con và cũng là cách để giữ cho mình một kỷ luật tài chính mỗi tháng.  ​ Trong quá trình tìm hiểu, những chia sẻ thực tế từ cộng đồng và sự tư vấn rõ ràng, minh bạch đã giúp chị đưa ra quyết định nhanh chóng “Chi phí hợp lý, quyền lợi rõ ràng, lại thấy nhiều người được chi trả nhanh nên mình quyết định tham gia cho con ngay từ đầu.” ​  Và rồi, trong những lần cần sử dụng, trải nghiệm thực tế càng củng cố thêm niềm tin đó. “Mình tự claim online, rất đơn giản, chỉ khoảng 2–3 ngày là đã nhận được chi trả.” ​ Với chị Hạnh, bảo hiểm không phải là một lựa chọn để “đề phòng”. Mà là một cách để chủ động hơn - để việc chuẩn bị cho con trở thành một thói quen đều đặn và bền vững. ​  Từ chi phí phù hợp, quyền lợi rõ ràng đến quy trình chi trả minh bạch, nhanh chóng, Sun Life đồng hành cùng chị Hạnh không chỉ bằng lời cam kết, mà bằng những trải nghiệm thực tế.  👉Tìm hiểu thêm sản phẩm Sun Life: https://www.sunlife.com.vn/vn/ 👉Đăng ký tư vấn: https://www.sunlife.com.vn/vn/ve-chung-toi/lien-he/dang-ky-tu-van/",Sun Life Việt Nam,30,9,2,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid033Ef2iTqB59kE4zvWajP9J4wHFAm48aSmXAVYU8Y8VUmwfYJFggnKAtzV4FNY9CRdl,https://scontent.fsgn5-3.fna.fbcdn.net/v/t39.99422-6/724568871_1521576232681328_7116835187062987373_n.png?stp=dst-jpg_tt6&cstp=mx2000x2000&ctp=s1080x2048&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=nQQETuuZr5EQ7kNvwEmsnzX&_nc_oc=AdoZDVsamQVxY5TEOUkgi1I7BrQQdwnQIYbJj4Ax9dB-k2jYWjy4ElNEqBcjjFhj80X1Yo1Vchovf6xxw5ppVvV1&_nc_zt=14&_nc_ht=scontent.fsgn5-3.fna&_nc_gid=oPV3UZsx6BbrS_HMJRx9ZA&_nc_ss=7b2a8&oh=00_Af9T81L7iAzdD0tC8kUaki1nhnpr46prr0pB6BDe0FU4bA&oe=6A413E46,
2026-06-12,"Sun Life Việt Nam chính thức ra mắt sản phẩm bảo hiểm tai nạn SUN - VỮNG BƯỚC qua kênh phân phối Ngân hàng TMCP Tiên Phong.  Bạn có thể lên kế hoạch cho mọi thứ, nhưng rủi ro tai nạn thì không hề báo trước. Chỉ một sự cố bất ngờ cũng có thể khiến cả kế hoạch tài chính đảo lộn. Đó là lý do chúng ta cần thêm một lớp bảo vệ đủ chắc chắn, SUN - Vững Bước sẽ giúp bạn chủ động bảo vệ bản thân để tự tin tận hưởng cuộc sống theo cách bạn mong muốn.  - Chi phí nhẹ nhàng: chỉ từ 256.000 đồng/Năm​ - Chi trả từ 300 triệu đến 900 triệu. Đặc biệt, lên đến 2,7 tỷ với Gói 900 khi đi máy bay​ - Đăng ký 100% online trên ứng dụng ngân hàng TPBank Mobile, không cần thẩm định  - Hỗ trợ tài chính kịp thời để bạn và gia đình vững vàng vượt qua biến cố  Đặc biệt, từ nay đến 30.09.2026, khi tham gia sản phẩm bảo hiểm tai nạn SUN – Vững Bước, bạn nhận ngay voucher Urbox lên đến 380.000 VNĐ,  vừa bảo vệ, vừa có thêm ưu đãi thiết thực.​ Số lượng voucher có hạn, tham khảo chi tiết chương trình tại đây: https://www.sunlife.com.vn/vn/dich-vu-khach-hang/chuong-trinh-khuyen-mai/2026/nhanh-tay-tham-gia-chuong-trinh-click-an-tam-cham-binh-an-cung-sun-life-va-tpbank/   Tìm hiểu sản phẩm ngay: https://www.sunlife.com.vn/vn/ca-nhan/tai-nan/sun-vung-buoc/  #SunLifeVietNam #SunVungBuoc #Baohiemnhantho #Baohiemtainan",Sun Life Việt Nam,26,2,2,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid02s9Q6q8Zr6dttjVDGDbHaxUBtnE7zEzpVLiQmWgaFBU8uSJM5VQrd85SML1cRuFUml,https://scontent.fsgn5-6.fna.fbcdn.net/v/t39.99422-6/721136789_2168748257300978_3431894056362466764_n.png?stp=dst-jpg_tt6&cstp=mx2048x2048&ctp=s1080x2048&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=iFS7b30oXO0Q7kNvwHxX9f6&_nc_oc=AdrdIrFRDmSJQU4G4TvMvbI7pMnDi6biluOqtStJ4xBziFv5hzyKnkNA1Rtk_g-ksDcNGebjCgAkB5tNIg2CtC4R&_nc_zt=14&_nc_ht=scontent.fsgn5-6.fna&_nc_gid=oPV3UZsx6BbrS_HMJRx9ZA&_nc_ss=7b2a8&oh=00_Af-ar0FijJpfCz695EMKM-JrzkYZrCrgt7CgOCxMEzztIg&oe=6A41503E,
2026-06-09,"Giữ chân nhân tài bằng phúc lợi hưu trí - chiến lược đầu tư ""2 trong 1""  Làm thế nào để doanh nghiệp xây dựng đội ngũ gắn kết bền vững mà vẫn tối ưu hoá được chi phí vận hành?  Câu trả lời nằm ở Giải pháp Hưu trí Doanh nghiệp từ Sun Life - một chính sách phúc lợi nhân văn và thông minh : - Dành cho Doanh Nghiệp: khoản đóng góp hưu trí cho nhân viên được hạch toán vào chi phí khi tính thuế thu nhập doanh nghiệp theo quy định hiện hành - Dành cho Nhân viên: Là lời cam kết dài hạn từ Công ty, giúp nhân sự an tâm cống hiến khi biết tương lai hưu trí của mình đã được đảm bảo - Linh hoạt: thiết kế chương trình phù hợp với ngân sách và quy mô của từng doanh nghiệp  Đầu tư vào con người chính là tài khoản đầu tư sinh lời bền vững nhất.  Liên hệ Sun Life để được tư vấn giải pháp hưu trí cho quý doanh nghiệp: https://www.sunlife.com.vn/vn/doanh-nghiep/giai-phap-huu-tri/bao-hiem-huu-tri-sun-life/  #SunLifeVietNam #baohiemhuutrisunlife #phucloidoanhnghiep",Sun Life Việt Nam,24,6,0,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid0Gc3sZrFMMisCFyxBhG79KrTD34a1zQvS11Eu2zK9ddcc313HpESd9yUa8pTjr7TUl,https://scontent.fsgn5-9.fna.fbcdn.net/v/t39.99422-6/719126420_4413285622253989_8097473065280473593_n.png?stp=dst-jpg_tt6&cstp=mx2048x2048&ctp=s1080x2048&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=0RbzVWztNpAQ7kNvwGuf7EQ&_nc_oc=AdrviGbVZYY29Zm-e3OvUcky3sKkjnUY67G2NTvgWBq9P0INWXPhdqe-CGHJrRN32gGefeq-c6lzHMzVg6dX5Sve&_nc_zt=14&_nc_ht=scontent.fsgn5-9.fna&_nc_gid=oPV3UZsx6BbrS_HMJRx9ZA&_nc_ss=7b2a8&oh=00_Af-9R-e09WiOhDYdRXq9xrNzk5tzvt-VDJ4EMhEu0KYMHA&oe=6A4145E4,
2026-06-07,"60% PHỤ NỮ VIỆT ĐẢM NHẬN VAI TRÒ QUẢN LÝ TÀI CHÍNH GIA ĐÌNH  Theo khảo sát từ Sun Life:    • 60% phụ nữ chịu trách nhiệm hoàn toàn trong việc quản lý chi tiêu hằng ngày;     • 43% tự quyết định các kế hoạch đầu tư và tài chính dài hạn;     • 52% cùng bạn đời xây dựng chiến lược đầu tư  Đáng chú ý, 69% phụ nữ có tiếng nói quyết định cuối cùng đối với các quyết định tài chính lớn trong gia đình – con số này lên đến 91% với nhóm phụ nữ là trụ cột thu nhập chính.  Khi trách nhiệm tài chính ngày càng lớn, việc chủ động bảo vệ tương lai cho bản thân và gia đình trở nên quan trọng hơn bao giờ hết.  👉 Tìm hiểu các giải pháp bảo hiểm nhân thọ từ Sun Life để vững vàng trước mọi kế hoạch tài chính dài hạn: https://www.sunlife.com.vn/vn/ca-nhan/tiet-kiem/sun-vi-nha-minh/  ⏩Mời bạn xem thêm Khảo sát từ Sun Life: Trách nhiệm chăm sóc gia đình khiến phụ nữ Việt Nam đối mặt với “ba tầng áp lực”: https://www.sunlife.com.vn/vn/ve-chung-toi/tin-tuc-su-kien/2026/khao-sat-tu-sun-life-trach-nhiem-cham-soc-gia-dinh-khien-phu-nu-viet-nam-doi-mat-voi-ba-tang-ap-luc-2026/   #SunLifeVietNam",Sun Life Việt Nam,37,8,1,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid0ydQmJ923uYxPbzY6PbyuA9bvcotoQzXzFh6Z8c2syeJeqVG5wJ2xnwwevvDF2d7vl,,
2026-06-05,"Cùng Sun Life nâng cao cảnh giác về rủi ro lừa đảo trực tuyến  Thời gian gần đây, các cơ quan chức năng đã ghi nhận nhiều hình thức lừa đảo tinh vi liên quan đến việc đóng phí bảo hiểm, mạo danh các doanh nghiệp uy tín nhằm chiếm đoạt tài sản và thu thập trái phép thông tin cá nhân.  Sun Life Việt Nam nhấn mạnh rằng chúng tôi:  • Không yêu cầu khách hàng chuyển phí vào tài khoản cá nhân • Không yêu cầu cung cấp thông tin bảo mật (OTP, mật khẩu, tài khoản ngân hàng,…) qua các kênh không chính thức  🛡️ Để an toàn, Quý Khách hàng vui lòng:  • Chỉ thanh toán phí bảo hiểm qua các kênh thu phí chính thức của Sun Life Việt Nam tại: https://www.sunlife.com.vn/content/dam/sunlife/regional/vietnam/documents/huong-dan-thanh-toan-phi-bao-hiem.pdf • Không chia sẻ thông tin bảo mật khi chưa xác minh rõ danh tính. • Không truy cập link lạ hoặc cài app không rõ nguồn gốc • Không chuyển tiền vào tài khoản cá nhân dưới bất kỳ hình thức nào.  📩 Tìm hiểu chi tiết & danh sách kênh chính thức tại: https://www.sunlife.com.vn/vn/ve-chung-toi/tin-tuc-su-kien/2026/cung-sun-life-nang-cao-canh-giac-ve-rui-ro-lua-dao-truc-tuyen/  💛 Hãy nâng cao cảnh giác để bảo vệ chính bạn và người thân.  #SunLifeVietnam #AnToanTaiChinh",Sun Life Việt Nam,31,6,1,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid01CGsFyrhk57jL2WsNCuDFL9MTd6deUaD17p3EkYJmzJQDCixWDijyK5xVo7miZpAl,https://scontent.fsgn5-5.fna.fbcdn.net/v/t39.30808-6/716009982_1451828100320803_595186845978523922_n.jpg?stp=dst-jpg_tt6&cstp=mx1200x1200&ctp=s1080x2048&_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=FKNqmbgoV0wQ7kNvwETOWBT&_nc_oc=AdogD6Sgwa5x3c4De35o0IBCVljkLo_nkvfayCt4IqyBGeV9erkhqHAffDdxqhKe21izDL6MJHF39NH-L5aIJOPe&_nc_zt=23&_nc_ht=scontent.fsgn5-5.fna&_nc_gid=ArVolKMFRMVFHVaK1WEZHA&_nc_ss=7b2a8&oh=00_Af_2zMTALJa7Q2CaZxsdFxIMVpaSLhCcONDZW_fAqYCuGw&oe=6A413F67,
2026-06-03,"💛 Mỗi bước chạy là một tia hy vọng  Khẳng định cam kết đồng hành lâu dài vì sức khỏe và chất lượng cuộc sống của cộng đồng, Sun Life Việt Nam tự hào tiếp tục là nhà tài trợ đồng hành cùng Children’s Cancer Run 2026 – giải chạy ý nghĩa do Hiệp hội Doanh nghiệp Canada tại Việt Nam (CanCham) tổ chức, nhằm chung tay hỗ trợ các em nhỏ đang điều trị ung thư.  Sự kiện đã diễn ra thành công tại The Global City, thu hút hơn 3.000 người tham dự – từ cộng đồng doanh nghiệp, các gia đình, vận động viên đến đông đảo tình nguyện viên. Không chỉ lan tỏa nhận thức về ung thư ở trẻ em, chương trình còn gây quỹ hỗ trợ chi phí điều trị, góp phần giúp các bệnh nhi có thêm cơ hội tiếp cận y tế kịp thời và hiệu quả hơn.  ✨ Cảm ơn tất cả những trái tim đã cùng Sun Life lan tỏa tinh thần WE CARE – để mỗi trẻ em đều có thêm cơ hội được chăm sóc và tiếp tục nuôi dưỡng những ước mơ.",Sun Life Việt Nam,115,14,6,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid0H8r65mShKX2ANY3M2WWBVeSsYorAEv5Mw2hhptAuRTa2tEXjq14CVzQY2DkFwkfJl,,
2026-06-01,"ƯỚC MƠ TRẺ THƠ  Một đứa trẻ có thể tin rằng mình sẽ bay, sẽ chạm tới những vì sao, sẽ trở thành bất cứ ai mà mình muốn. Ở thế giới của các thiên thần nhỏ, ước mơ không cần điều kiện và niềm tin không bị giới hạn bởi nỗi sợ - mọi thứ đều có thể, theo cách rất tự nhiên.  Ước mơ cần niềm tin để bắt đầu nhưng cần một nền tảng vững vàng để hiện thực hóa. Và nền tảng đó là điều bố mẹ có thể chuẩn bị ngay từ hôm nay cho con trẻ.  Nhân ngày Quốc tế Thiếu nhi, Sun Life Việt Nam chúc các em luôn giữ được sự trong trẻo trong ước mơ và có một hành trình lớn lên bình an, trọn vẹn, với thật nhiều cơ hội để chạm tay vào những điều mình mong muốn.  #SunLifeVietNam",Sun Life Việt Nam,50,8,3,https://www.facebook.com/SunLifeVietnam,https://www.facebook.com/SunLifeVietnam/posts/pfbid02SaXyNvYHfJqg7nw9Ffcp3zXRAxg6MCfggxJjpidngmf9hs3HFU1kGaRgPUWa6yxil,https://scontent.fsgn5-10.fna.fbcdn.net/v/t39.30808-6/713164318_1447794894057457_6202500097026971509_n.jpg?stp=dst-jpg_tt6&cstp=mx1200x1200&ctp=s1080x2048&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=YgJk1xVSvvcQ7kNvwGwJoE2&_nc_oc=AdoGmZnYx7IC2bztidLbd8TsucYlOXiaDdWFj59hlLvgy-b77X-5O9UrZ8cgDUYbANw3pmf1YAAs97QEs4B0jj0N&_nc_zt=23&_nc_ht=scontent.fsgn5-10.fna&_nc_gid=imkm_3InFYPkwEQ0fcsENA&_nc_ss=7b2a8&oh=00_Af-RbR_XSlrLfLBeB9JVAFdkPOvBBRaKNEdYjxxrHiGiAg&oe=6A4127AE,
